SampleID,Gender,Age-range,Region,Area
S137,Male,50-54,ARAGON,Rest
S138,Female,50-54,ANDALUCIA,Mediterranean
S139,Male,55-59,BASQUE,Rest
S140,Male,45-49,BASQUE,Rest
S141,Male,55-59,ANDALUCIA,Mediterranean
S142,Male,40-44,CATALONIA,Mediterranean
S143,Male,65-70,GALICIA,Rest
S144,Male,40-44,ARAGON,Rest
S145,Male,50-54,ANDALUCIA,Mediterranean
S146,Female,55-59,CATALONIA,Mediterranean
S147,Female,45-49,ANDALUCIA,Mediterranean
S148,Female,45-49,ANDALUCIA,Mediterranean
S149,Male,45-49,VALENCIANA,Mediterranean
S150,Male,35-39,CATALONIA,Mediterranean
S151,Male,60-64,BASQUE,Rest
S152,Male,50-54,CATALONIA,Mediterranean
S153,Female,60-64,EXTREMADURA,Rest
S154,Female,55-59,CATALONIA,Mediterranean
S155,Male,35-39,ANDALUCIA,Mediterranean
S156,Male,45-49,ANDALUCIA,Mediterranean
S157,Male,50-54,LAMANCHA,Rest
S158,Female,65-70,MURCIA,Mediterranean
S159,Female,25-29,CATALONIA,Mediterranean
S160,Male,45-49,CATALONIA,Mediterranean
S161,Male,18-24,CASTILLA.LEON,Rest
S162,Female,30-34,LAMANCHA,Rest
S163,Male,65-70,VALENCIANA,Mediterranean
S164,Female,55-59,BASQUE,Rest
S165,Female,18-24,ANDALUCIA,Mediterranean
S166,Female,65-70,GALICIA,Rest
S167,Male,40-44,ANDALUCIA,Mediterranean
S168,Male,35-39,CATALONIA,Mediterranean
S169,Male,35-39,CATALONIA,Mediterranean
S170,Male,65-70,ANDALUCIA,Mediterranean
S171,Female,55-59,CATALONIA,Mediterranean
S172,Male,35-39,ANDALUCIA,Mediterranean
S173,Male,60-64,CATALONIA,Mediterranean
S174,Male,25-29,ANDALUCIA,Mediterranean
S175,Female,60-64,ANDALUCIA,Mediterranean
S176,Female,60-64,MURCIA,Mediterranean
S177,Female,65-70,BASQUE,Rest
S178,Female,65-70,CATALONIA,Mediterranean
S179,Female,55-59,ANDALUCIA,Mediterranean
S180,Male,45-49,LAMANCHA,Rest
S181,Male,30-34,CATALONIA,Mediterranean
S182,Female,55-59,CATALONIA,Mediterranean
S183,Male,55-59,ANDALUCIA,Mediterranean
S184,Female,45-49,ANDALUCIA,Mediterranean
S185,Male,65-70,GALICIA,Rest
S186,Female,60-64,ARAGON,Rest
S187,Male,25-29,LAMANCHA,Rest
S188,Female,25-29,ARAGON,Rest
S189,Male,40-44,CATALONIA,Mediterranean
S190,Male,18-24,GALICIA,Rest
S191,Female,55-59,CATALONIA,Mediterranean
S192,Female,45-49,ANDALUCIA,Mediterranean
S193,Male,25-29,LAMANCHA,Rest
S194,Female,65-70,GALICIA,Rest
S195,Male,35-39,BASQUE,Rest
S196,Male,40-44,CATALONIA,Mediterranean
S197,Male,45-49,ANDALUCIA,Mediterranean
S198,Female,55-59,ANDALUCIA,Mediterranean
S199,Male,35-39,CATALONIA,Mediterranean
S200,Female,60-64,CATALONIA,Mediterranean
S201,Male,45-49,VALENCIANA,Mediterranean
S202,Male,40-44,CATALONIA,Mediterranean
S203,Male,30-34,LAMANCHA,Rest
S204,Female,60-64,VALENCIANA,Mediterranean
S205,Male,55-59,VALENCIANA,Mediterranean
S206,Male,45-49,VALENCIANA,Mediterranean
S207,Female,60-64,LAMANCHA,Rest
S208,Male,40-44,LAMANCHA,Rest
S209,Male,30-34,GALICIA,Rest
S210,Female,50-54,ARAGON,Rest
S211,Male,40-44,LAMANCHA,Rest
S212,Male,50-54,CATALONIA,Mediterranean
S213,Female,60-64,BALEARES,Island
S214,Female,25-29,LAMANCHA,Rest
S215,Male,55-59,MURCIA,Mediterranean
S216,Male,45-49,ANDALUCIA,Mediterranean
S217,Female,60-64,EXTREMADURA,Rest
S218,Male,50-54,ANDALUCIA,Mediterranean
S219,Male,55-59,ANDALUCIA,Mediterranean
S220,Female,65-70,CATALONIA,Mediterranean
S221,Female,55-59,CATALONIA,Mediterranean
S222,Male,65-70,GALICIA,Rest
S223,Male,35-39,GALICIA,Rest
S224,Female,40-44,VALENCIANA,Mediterranean
S225,Male,25-29,CASTILLA.LEON,Rest
S226,Male,45-49,VALENCIANA,Mediterranean
S227,Male,40-44,ANDALUCIA,Mediterranean
S228,Male,40-44,GALICIA,Rest
S229,Female,45-49,ANDALUCIA,Mediterranean
S230,Female,50-54,VALENCIANA,Mediterranean
S231,Female,40-44,GALICIA,Rest
S232,Male,30-34,ANDALUCIA,Mediterranean
S233,Male,35-39,CASTILLA.LEON,Rest
S234,Female,30-34,CATALONIA,Mediterranean
S235,Female,50-54,VALENCIANA,Mediterranean
S236,Female,18-24,VALENCIANA,Mediterranean
S237,Female,55-59,GALICIA,Rest
S238,Male,65-70,VALENCIANA,Mediterranean
S239,Male,40-44,ANDALUCIA,Mediterranean
S240,Male,30-34,VALENCIANA,Mediterranean
S241,Female,40-44,GALICIA,Rest
S242,Male,55-59,BASQUE,Rest
S243,Female,50-54,BASQUE,Rest
S244,Female,60-64,ANDALUCIA,Mediterranean
S245,Female,30-34,BASQUE,Rest
S246,Female,50-54,VALENCIANA,Mediterranean
S247,Female,50-54,ANDALUCIA,Mediterranean
S248,Male,30-34,BALEARES,Island
S249,Female,45-49,GALICIA,Rest
S250,Female,30-34,CATALONIA,Mediterranean
S251,Female,45-49,LAMANCHA,Rest
S252,Female,50-54,CASTILLA.LEON,Rest
S253,Female,65-70,BASQUE,Rest
S254,Male,40-44,CASTILLA.LEON,Rest
S255,Female,45-49,EXTREMADURA,Rest
S256,Male,35-39,ANDALUCIA,Mediterranean
S257,Female,50-54,CATALONIA,Mediterranean
S258,Female,45-49,ARAGON,Rest
S259,Female,30-34,CATALONIA,Mediterranean
S260,Female,35-39,VALENCIANA,Mediterranean
S261,Male,45-49,ARAGON,Rest
S262,Female,40-44,CATALONIA,Mediterranean
S263,Male,45-49,MADRID,Rest
S264,Male,18-24,VALENCIANA,Mediterranean
S265,Male,35-39,GALICIA,Rest
S266,Female,60-64,MADRID,Rest
S267,Male,35-39,VALENCIANA,Mediterranean
S268,Female,18-24,MADRID,Rest
S269,Male,40-44,ARAGON,Rest
S270,Female,50-54,BALEARES,Island
S271,Male,50-54,NAVARRA,Rest
S272,Male,55-59,MADRID,Rest
S273,Male,50-54,RIOJA,Rest
S274,Male,25-29,CASTILLA.LEON,Rest
S275,Female,40-44,GALICIA,Rest
S276,Male,50-54,RIOJA,Rest
S277,Male,55-59,MADRID,Rest
S278,Male,40-44,LAMANCHA,Rest
S279,Male,25-29,GALICIA,Rest
S280,Male,55-59,ANDALUCIA,Mediterranean
S281,Female,55-59,MADRID,Rest
S282,Female,40-44,VALENCIANA,Mediterranean
S283,Male,45-49,VALENCIANA,Mediterranean
S284,Female,50-54,CATALONIA,Mediterranean
S285,Female,35-39,VALENCIANA,Mediterranean
S286,Female,30-34,MADRID,Rest
S287,Female,40-44,ANDALUCIA,Mediterranean
S288,Female,55-59,GALICIA,Rest
S289,Male,25-29,CATALONIA,Mediterranean
S290,Female,35-39,ANDALUCIA,Mediterranean
S291,Male,35-39,ANDALUCIA,Mediterranean
S292,Male,60-64,CANARIAS,Island
S293,Female,40-44,ANDALUCIA,Mediterranean
S294,Female,40-44,ANDALUCIA,Mediterranean
S295,Female,18-24,GALICIA,Rest
S296,Female,65-70,CASTILLA.LEON,Rest
S297,Female,45-49,MURCIA,Mediterranean
S298,Female,45-49,BASQUE,Rest
S299,Male,65-70,MADRID,Rest
S300,Male,40-44,CATALONIA,Mediterranean
S301,Female,50-54,GALICIA,Rest
S302,Male,35-39,MADRID,Rest
S303,Female,35-39,ANDALUCIA,Mediterranean
S304,Female,25-29,MURCIA,Mediterranean
S305,Female,35-39,LAMANCHA,Rest
S306,Male,35-39,NAVARRA,Rest
S307,Female,30-34,GALICIA,Rest
S308,Female,25-29,CATALONIA,Mediterranean
S309,Female,30-34,CASTILLA.LEON,Rest
S310,Male,50-54,LAMANCHA,Rest
S311,Male,45-49,MADRID,Rest
S312,Male,35-39,VALENCIANA,Mediterranean
S313,Male,18-24,MADRID,Rest
S314,Female,18-24,GALICIA,Rest
S315,Male,45-49,CATALONIA,Mediterranean
S316,Male,18-24,CASTILLA.LEON,Rest
